query,intent
번호,1
번호도,1
전화번호,1
번호도 그대루,1
전화번호는 공일육 칠삼오삼 일사이칠 입니다,1
전화번호는 공일육 칠오둘일 둘오칠삼 입니다,1
전화번호는 공일육 하나영삼이 칠둘둘육 입니다,1
전화번호는 공일육 공삼구둘 둘삼둘사 입니다,1
전화번호는 공일육 사팔구둘 오칠하나일 입니다,1
전화번호는 공일육 하나영삼이 칠둘둘육 입니다,1
전화번호는 공일육 하나삼삼오 일구삼칠 입니다,1
전화번호는 공일육 팔사칠팔 공칠일일 입니다,1
퍼스트 드림 핸드폰은 신규 가입으로 개통하셔도 되고 번호 이동도 가능 해요,1
계좌번호는 하나은행 공구칠일 다시 공일이삼사오육칠 다시 칠팔구공 입니다,1
전화번호는 공일육 구둘사칠 이하나삼구 입니다,1
전화번호는 공일육 둘이이둘 구육공칠 입니다,1
전화번호는 공일육 이사영공 둘일공이 입니다,1
전화번호는 공일육 영둘구공 오구공칠 입니다,1
그거 맨 처음 그 번호 같은거 있 잖아요,1
내가 번호표 뽑아서 기다릴게,1
전화번호는 공일육 둘이일삼 오일삼칠 입니다,1
전화번호는 공일육 사공사칠 이이팔일 입니다,1
전화번호는 공일육 공삼구둘 둘삼둘사 입니다,1
전화번호는 공일육 하나삼삼오 일구삼칠 입니다,1
전화번호는 공일육 사공사칠 이이팔일 입니다,1
전화번호는 공일육 하나삼삼오 일구삼칠 입니다,1
전화번호는 공일육 팔사칠팔 공칠일일 입니다,1
전화번호는 공일육 이사영공 둘일공이 입니다,1
전화번호도 바뀌었던데,1
아래 사진의 좋은 집의 물건 번호입니다,1
전화번호는 공일육 사공사칠 이이팔일 입니다,1
절대로 남에게 비밀 번호를 알려 주지마세요,1
전화번호는 공일육 하나영삼이 칠둘둘육 입니다,1
전화번호는 공일육 영칠구공 삼이삼공 입니다,1
전화번호는 공일육 하나영삼이 칠둘둘육 입니다,1
전화번호는 공일육 칠삼오삼 일사이칠 입니다,1
전화번호는 공일육 공삼구둘 둘삼둘사 입니다,1
두 명이 받아야 된다구요 했더니 전화 번호 이름 이러는겁니다,1
전화번호는 공일육 구둘사칠 이하나삼구 입니다,1
전화번호는 공일육 하나사사일 오육삼공 입니다,1
전화번호는 공일육 하나영삼이 칠둘둘육 입니다,1
전화번호는 공일육 공삼구둘 둘삼둘사 입니다,1
진경이의 핸드폰 번호가 변경되었습니다,1
하나는 카스 티고의 전화 번호고 하나는 할머니의 전화 번호다,1
전화번호는 공일육 팔사칠팔 공칠일일 입니다,1
전화번호는 공일육 이사영공 둘일공이 입니다,1
전화번호는 공일육 하나영삼이 칠둘둘육 입니다,1
전화번호는 공일육 구육사육 팔둘하나둘 입니다,1
전화번호는 공일육 이사영공 둘일공이 입니다,1
전화번호는 공일육 하나삼삼오 일구삼칠 입니다,1
전화번호는 공일육 팔사칠팔 공칠일일 입니다,1
전화번호는 공일육 하나사사일 오육삼공 입니다,1
전화번호는 공일육 팔사칠팔 공칠일일 입니다,1
물론 올 때도 같은 번호의 버스를 탑승해야겠죠,1
전화번호도 바뀌었던데,1
번호를 건성으로 봐서 버스를 잘못 탔어,1
계좌번호는 국민은행 영이칠일 다시 영영일이삼구오육 다시 칠팔구영 입니다,1
계좌번호는 농협중앙회 공구칠일 다시 이일일이삼사오육 다시 칠팔구공 입니다,1
걱정되어서 택시 번호도 적어뒀는데,1
전화번호는 공일육 하나칠오이 공공오영 입니다,1
전화번호는 공일육 구팔하나둘 구영둘일 입니다,1
전화번호는 공일육 사공사칠 이이팔일 입니다,1
전화번호는 공일육 하나영삼이 칠둘둘육 입니다,1
통장 비밀번호는 그녀의 생일이야,1
전화번호는 공일육 구팔하나둘 구영둘일 입니다,1
전화번호는 공일육 하나삼삼오 일구삼칠 입니다,1
시도 때도 없이 비밀 번호를 누르고 신혼집 에 드나들다,1
핸드폰번호가 바꿨으니 착오 없으시기 바랍니다,1
전화번호는 공일육 이둘팔오 공사영사 입니다,1
전화번호는 공일육 하나사사일 오육삼공 입니다,1
전화번호는 공일육 공삼구둘 둘삼둘사 입니다,1
지금 은행에서 번호표 뽑아서 기다리는 중이야,1
전화번호는 공일육 둘이일삼 오일삼칠 입니다,1
아무튼 주민 번호 체계에 대해 알아보는것이 다음 수순이겠습니다,1
전화번호는 공일육 구육사육 팔둘하나둘 입니다,1
전화번호는 공일육 둘이일삼 오일삼칠 입니다,1
전화번호는 공일육 영둘구공 오구공칠 입니다,1
전화번호는 공일육 구둘사칠 이하나삼구 입니다,1
전화번호는 공일육 구둘사칠 이하나삼구 입니다,1
디앤샵 주문번호 일이이사 입금 확인되었습니다,1
전화번호는 공일육 둘이이둘 구육공칠 입니다,1
전화번호는 공일육 둘이일삼 오일삼칠 입니다,1
손가락은 남편 휴대 전화 번호를 신경질적으로 눌러 댔다,1
계좌번호는 신한은행 일이삼사오육칠팔구,1
전화번호는 공일육 구육사육 팔둘하나둘 입니다,1
주민번호랑 본인명의의 계좌번호와 비밀번호만 알면 돼,1
당첨자 확인을 위해 핸드폰 번호의 일부분을 공개합니다,1
전화번호는 공일육 칠오둘일 둘오칠삼 입니다,1
전화번호는 공일육 영둘구공 오구공칠 입니다,1
비밀번호를 잊어버려서 오류가 세 번 나왔습니다,1
너 택시 타고 간 다음에 네 택시 차번호 외워놨어 ,1
너 전화번호 바뀌었다면서 연락도 안 하고 삐졌어,1
주문을 하고나면 요렇게 주문 번호를 줍니다,1
전화번호는 공일육 하나삼삼오 일구삼칠 입니다,1
전화번호는 공일육 사팔구둘 오칠하나일 입니다,1
전화번호는 공일육 하나영삼이 칠둘둘육 입니다,1
전화번호는 공일육 사팔구둘 오칠하나일 입니다,1
전화번호는 공일육 구팔하나둘 구영둘일 입니다,1
