text,label
이 영화 있는사람 공유 부탁합니다 제 폰번호 010 4427 2774 연락한통만요^-^;,0
"작가때문에 1점 주려다가 영화가 너무 좋아서 10점줌비행기를 끌고 추운곳에다 추락시키는대 애시당초 비행기 자체가""자동항법으로 운행되는대 비밀번호가 필요해 그러니 파괴시켜야해""가 아닌 그냥 자기가 운전해서 가따박음그럴거면 그냥 안전하게 착륙해",0
비밀번호가 뭐야? 서윤내사랑 ㅋ_ㅋ,0
용팔이 시르즈를 볼려면 어떻게 하는지.전화번호좀,0
보다 말았는데 심장 졸라 쫄깃해진다;; 근데 여주 졸라 답답함. 세면대 물기 닦는 철저함도 보였으면서 차번호도 안봐두고...글고 주유소에 불 지르면 될텐데... 글고 쪼매난 총으로 뭐 어쩌려고 미친놈 소굴에 따라가냐,0
"사실을 말해 주지 않아 1점. 막판 없는 주민 번호라 할때 대반전 서스펜스 공포영화인줄 알았으나, 일말의양심도 없이 이도저도 아니었음.개실망. 주인공들이 첨부터 끝까지 개구라만치는 사기극임.",0
이영화만든감독님 전화 번호 아시는분? ㅎㅎㅎㅎ귓속에대고 조근조근한말투로 따뜻한욕 한마디해드리고싶어요,0
"채권맡긴날 그리고 3개월후 채권찾는날, 은행 뒤편의 전광판날짜가 똑같네. 대기번호까지 똑같고...스토리 엉성하고 연기엉성한건 말할것도 없고 -.-;;;90년대 비디오용 영화수준",0
진짜 잼있다 숟가락 번호 맞추기 ㅋㅋ 영화시작 한지 20불만에 눈감고 끝날때까지 피로풀어준 영화 ㅋ,0
"개발연기에, 논리라는 말도 붙이기 민망한 비약. 화투패의 주민번호 소유주가 죽는다. ㅡㅡ 개똥같은...",0
"12년동안 돈많은 남편한테 붙어 있으면서 애인은 따로 두고 죽을 때 되니 사랑하는 애인한텐 못가겠고 남편옆에서 빌붙어있다가 죽기 직전 ""사랑"" 폴더 비밀번호를 알려주면서 남편에게 넌 이것밖에 안되는 놈이었다고 재대로 한방 먹여주고 가버리네 ㅋㅋ",0
"전화번호부 보는 느낌,",0
어사일럼 여기서 만든 영화는 다 이렇다 허접의 진수성찬이라고 할까 모든게 어색하지만 자동차 추격전 봐라 기가 막히다 차 번호도 막 바뀌고 사람 숫자도 틀리고 헬기는 뭔지,0
코메디 인줄.... 테러범이라는 애들이 비밀번호는 죄다 기념일이고 일반인한테 맞고다녀... 진짜 이렇게 허술한 영화는 대학생 동아리에서도 만들겠다 인생죄악의 영화임...,0
이승준 2번 다시 영화 찍지 마라.. 연기 더럽게 못하고 어색하네 18.. 내용도 개 쓰레기고.. 고스톱 점수로 안 나오는 주민 번호 가진 사람들은 뭐냐 장난하나 18,0
예 제가 이력부터 그럼 확인 드릴텐데 전화번호 불러주시겠어요,0
그때 알려주신 전화번호와 성함 알려주세요 고객님,0
#@전번# 이 번호로는 저희가 따로 고객님 성함이 없으신데요,0
휴대폰 번호는 혹시 죄송하지만 어떻게 되세요,0
네 휴대폰 번호는 #@전번#,0
통화 가능하신 번호가 어떻게 되십니까,0
그러십니까 고객님 성함과 전화번호가 어떻게 되시죠,0
고객님 전화번호가 어떻게 되십니까,0
제 번호는 #@전번#입니다,0
인터넷 창에서 주소를 다 지워주시고요 #@번호#를 입력해 주세요,0
성함과 전화번호가 어떻게 되십니까,0
저희 쪽에 남겨주신 번호와 성함이 어떻게 되세요,0
네 성함과 전화번호도 말씀해 주시겠습니까,0
네 그 쪽으로 찾아보니까 전화번호가 여기로 나오네요,0
네 고객님 이쪽 번호로 바로 안내해 드리겠습니다,0
그러십니까 그럼 성함과 전화번호 먼저 확인 부탁드립니다,0
기사님 전화번호 좀 알려주실 수 있나요,0
죄송하지만 기사 개인 전화번호 안내는 어렵습니다,0
전화번호 먼저 안내해 드릴게요,0
지역번호 서울이고요 #@전번#입니다,0
#@장소# 번호 알려줘요,0
거기의 전화번호 알려달라니까,0
저희도 전화번호를 확인할 수는 없습니다 고객님,0
바로 전화 거는데 나한테 전화 걸으면 전화번호가 나올 게 아니에요,0
그러면은 전화번호가 몇 번이십니까,0
누구 내 전화번호 나 그거 알 필요 없고,0
판매처 판매부 전화번호를 알려줄 수 있음 전화번호를 줘요,0
이 번호 말고 다른 연락처 하나 더 있으십니까,0
집 전화번호 #@전번#이요,0
제 번호는 #@전번#이요,0
저희 서비스 만족도 조사 위해 성함 주소 전화번호 제공에 동의해 주시겠습니까,0
연락 가능하신 전화번호 한 번 불러주시겠습니까,0
네 번호 #@전번#이요,0
